name,category,base,overlay,tags,master_svg,theme_svg_pattern,png_pattern
cloud_search,cloud,cloud,search,cloud;search,svg/master/cloud_search.svg,svg/{theme}/cloud_search.svg,png/{theme}/{size}/cloud_search.png
cloud_check,cloud,cloud,check,cloud;check,svg/master/cloud_check.svg,svg/{theme}/cloud_check.svg,png/{theme}/{size}/cloud_check.png
cloud_warning,cloud,cloud,warning,cloud;warning,svg/master/cloud_warning.svg,svg/{theme}/cloud_warning.svg,png/{theme}/{size}/cloud_warning.png
cloud_info,cloud,cloud,info,cloud;info,svg/master/cloud_info.svg,svg/{theme}/cloud_info.svg,png/{theme}/{size}/cloud_info.png
cloud_lock,cloud,cloud,lock,cloud;lock,svg/master/cloud_lock.svg,svg/{theme}/cloud_lock.svg,png/{theme}/{size}/cloud_lock.png
cloud_unlock,cloud,cloud,unlock,cloud;unlock,svg/master/cloud_unlock.svg,svg/{theme}/cloud_unlock.svg,png/{theme}/{size}/cloud_unlock.png
cloud_upload,cloud,cloud,upload,cloud;upload,svg/master/cloud_upload.svg,svg/{theme}/cloud_upload.svg,png/{theme}/{size}/cloud_upload.png
cloud_download,cloud,cloud,download,cloud;download,svg/master/cloud_download.svg,svg/{theme}/cloud_download.svg,png/{theme}/{size}/cloud_download.png
cloud_sync,cloud,cloud,sync,cloud;sync,svg/master/cloud_sync.svg,svg/{theme}/cloud_sync.svg,png/{theme}/{size}/cloud_sync.png
cloud_share,cloud,cloud,share,cloud;share,svg/master/cloud_share.svg,svg/{theme}/cloud_share.svg,png/{theme}/{size}/cloud_share.png
cloud_settings,cloud,cloud,gear,cloud;settings,svg/master/cloud_settings.svg,svg/{theme}/cloud_settings.svg,png/{theme}/{size}/cloud_settings.png
network,network,network,,network;,svg/master/network.svg,svg/{theme}/network.svg,png/{theme}/{size}/network.png
network_add,network,network,add,network;add,svg/master/network_add.svg,svg/{theme}/network_add.svg,png/{theme}/{size}/network_add.png
network_remove,network,network,remove,network;remove,svg/master/network_remove.svg,svg/{theme}/network_remove.svg,png/{theme}/{size}/network_remove.png
network_delete,network,network,delete,network;delete,svg/master/network_delete.svg,svg/{theme}/network_delete.svg,png/{theme}/{size}/network_delete.png
network_edit,network,network,edit,network;edit,svg/master/network_edit.svg,svg/{theme}/network_edit.svg,png/{theme}/{size}/network_edit.png
network_search,network,network,search,network;search,svg/master/network_search.svg,svg/{theme}/network_search.svg,png/{theme}/{size}/network_search.png
network_check,network,network,check,network;check,svg/master/network_check.svg,svg/{theme}/network_check.svg,png/{theme}/{size}/network_check.png
network_warning,network,network,warning,network;warning,svg/master/network_warning.svg,svg/{theme}/network_warning.svg,png/{theme}/{size}/network_warning.png
network_info,network,network,info,network;info,svg/master/network_info.svg,svg/{theme}/network_info.svg,png/{theme}/{size}/network_info.png
network_lock,network,network,lock,network;lock,svg/master/network_lock.svg,svg/{theme}/network_lock.svg,png/{theme}/{size}/network_lock.png
network_unlock,network,network,unlock,network;unlock,svg/master/network_unlock.svg,svg/{theme}/network_unlock.svg,png/{theme}/{size}/network_unlock.png
network_upload,network,network,upload,network;upload,svg/master/network_upload.svg,svg/{theme}/network_upload.svg,png/{theme}/{size}/network_upload.png
network_download,network,network,download,network;download,svg/master/network_download.svg,svg/{theme}/network_download.svg,png/{theme}/{size}/network_download.png
network_sync,network,network,sync,network;sync,svg/master/network_sync.svg,svg/{theme}/network_sync.svg,png/{theme}/{size}/network_sync.png
network_share,network,network,share,network;share,svg/master/network_share.svg,svg/{theme}/network_share.svg,png/{theme}/{size}/network_share.png
network_settings,network,network,gear,network;settings,svg/master/network_settings.svg,svg/{theme}/network_settings.svg,png/{theme}/{size}/network_settings.png
user,user,user,,user;,svg/master/user.svg,svg/{theme}/user.svg,png/{theme}/{size}/user.png
user_add,user,user,add,user;add,svg/master/user_add.svg,svg/{theme}/user_add.svg,png/{theme}/{size}/user_add.png
